mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
10,10,1,OO,5836,ORD,157,8.18,51,27
1,4,1,OO,5866,ORD,466,15.5,102,NA
11,22,1,OO,6016,ORD,738,7.17,127,-19
2,14,5,B6,199,JFK,2248,21.17,365,60
5,25,3,WN,1675,SJC,386,12.92,85,22
3,28,1,B6,377,LGA,1076,13.33,182,70
5,28,6,B6,904,ORD,740,9.58,130,47
1,19,2,UA,820,SFO,679,12.75,123,135
8,5,5,US,2175,LGA,214,13,71,-10
5,27,5,AA,1240,ORD,1197,14.42,195,-11
8,20,6,B6,119,JFK,1182,14.67,198,20
2,3,1,AA,1881,JFK,1090,15.92,200,-9
8,26,5,B6,35,JFK,1028,20.58,193,102
4,9,5,AA,336,ORD,733,20.5,125,32
3,8,2,UA,678,ORD,733,10.95,129,55
8,10,3,OH,6347,LGA,292,11.75,102,8
8,14,0,UA,624,ORD,612,17.92,109,57
4,8,4,OH,5585,JFK,301,13.25,88,23
1,14,4,UA,1524,SFO,414,14.87,91,27
1,2,6,AA,1341,ORD,1846,7.5,275,26
6,13,0,WN,468,SFO,337,6.92,80,-10
4,18,0,WN,3582,SJC,621,12.58,110,1
4,12,1,WN,873,SJC,333,16.33,70,11
11,31,3,US,349,SMF,647,9.17,113,7
2,22,6,OO,6669,ORD,1186,10.25,194,21
10,2,0,US,2144,LGA,185,21,67,-11
0,16,3,OO,6026,SFO,372,14.77,88,-14
0,1,2,OO,5886,ORD,84,16.83,46,NA
0,3,4,OO,5655,SMF,86,10.7,54,42
9,17,5,WN,760,SMF,404,6.25,85,30
5,8,0,OO,3897,ORD,1249,13.25,216,194
6,14,1,UA,152,SFO,1846,18.67,244,-12
2,10,1,B6,347,JFK,1041,13,178,24
5,5,4,UA,33,JFK,2475,20.58,384,23
6,7,1,AA,2337,ORD,802,16.08,145,18
11,21,0,B6,174,SJC,2569,21.92,321,NA
2,3,1,AA,368,ORD,733,13.33,130,18
6,7,1,UA,606,ORD,612,9.08,106,18
5,27,5,UA,1220,SJC,948,7.67,156,-3
0,18,5,OO,6134,SFO,363,7.23,80,24
11,24,3,UA,544,SFO,550,19.43,107,47
0,6,0,US,1737,LGA,544,13.08,122,-36
11,1,1,AA,301,ORD,258,8.33,70,73
7,13,3,US,2165,LGA,214,8,66,-7
2,30,0,UA,662,ORD,843,19.25,135,96
4,20,2,B6,221,JFK,2465,9.42,361,-9
11,2,2,UA,148,ORD,678,15.65,130,73
1,28,4,UA,1224,ORD,678,9.5,115,-5
6,7,1,AA,2275,LGA,764,12.92,145,9
2,14,5,OH,5081,LGA,1011,10,197,33
0,7,1,B6,904,ORD,740,9.42,130,4
0,29,2,AA,333,LGA,733,13.58,160,150
7,14,4,B6,399,LGA,950,21.08,158,101
4,12,1,OH,5245,LGA,641,15.17,140,NA
6,14,1,UA,943,ORD,1745,15.28,258,17
9,19,0,WN,1679,SMF,479,9.17,90,-5
3,2,3,B6,395,LGA,950,14.92,176,88
1,24,0,AA,1843,ORD,1721,11.5,275,-14
4,12,1,UA,802,SJC,948,6.5,164,-26
4,8,4,AA,1745,ORD,1745,9.75,260,21
11,16,2,B6,1402,SFO,1504,8.75,205,34
0,28,1,UA,820,SFO,679,12.83,123,16
6,31,4,WN,3775,SMF,358,6.75,70,-6
4,4,0,UA,388,ORD,599,9.67,109,31
3,24,4,AA,20,SFO,2586,15.42,330,-14
0,25,5,AA,1228,TUS,1437,13.08,204,354
4,28,3,UA,39,SFO,2338,16.5,321,73
6,4,5,AA,2464,ORD,740,17,150,-33
11,15,1,WN,642,SJC,417,16.42,75,42
1,17,0,AA,133,JFK,2475,16.08,380,-16
3,15,2,US,286,SJC,621,19,113,-22
7,15,5,US,493,SJC,621,16.17,114,36
6,8,2,US,401,ORD,1440,18.92,217,30
5,25,3,OH,5046,JFK,508,20.17,145,-1
6,13,0,OO,5549,SFO,262,7.08,80,-1
2,23,0,OO,6408,SFO,451,13.87,94,-4
2,3,1,AA,2313,ORD,802,9.33,150,78
11,9,2,AA,1559,LGA,1097,16.17,190,22
10,14,5,UA,1512,SFO,651,10.92,120,-13
7,16,6,UA,745,LGA,1619,14.18,259,-12
8,28,0,AA,358,ORD,733,16,140,-15
8,9,2,AA,1169,ORD,1041,14.33,165,-3
7,2,6,UA,676,ORD,733,10.12,132,35
11,21,0,UA,515,ORD,1781,20.5,274,78
6,3,4,UA,70,OGG,3303,20.17,395,-7
4,31,6,AA,2079,ORD,1723,8.17,260,15
4,22,4,UA,684,ORD,733,14,139,105
1,14,4,WN,414,SFO,337,7.08,90,-25
4,27,2,UA,941,ORD,1745,17,261,22
7,20,3,OH,5306,JFK,740,9.25,170,0
0,31,4,AA,382,ORD,733,9.75,120,35
9,1,3,OO,5964,ORD,174,6.97,53,-16
11,11,4,B6,117,JFK,1182,7.25,212,38
8,5,5,OO,5551,SFO,86,7.58,43,NA
0,1,2,UA,566,ORD,606,18.33,119,41
8,2,2,UA,730,ORD,622,17.92,112,8
6,2,3,AA,782,ORD,1012,19.25,150,151
4,20,2,OH,5570,LGA,461,19.52,122,72
0,8,2,AA,3,JFK,2475,12,370,0
5,3,2,AA,1635,JFK,1597,8,235,1
7,13,3,B6,381,LGA,1076,16.33,189,-12
10,6,4,OH,6707,JFK,213,18.67,109,27
3,17,4,WN,122,TUS,451,8.33,95,102
0,5,6,UA,39,SFO,2338,18.87,328,40
2,12,3,UA,188,SFO,2521,22.33,320,18
6,27,0,OO,6529,ORD,109,13.27,56,-1
5,5,4,WN,1795,SMF,480,6.42,90,-15
3,24,4,AA,751,LGA,1389,14.42,230,-12
7,11,1,UA,477,ORD,1723,11.92,250,4
1,25,1,OO,5866,ORD,466,15.58,102,NA
6,20,0,AA,2296,ORD,678,11.75,120,98
5,13,5,OO,5964,ORD,174,6.65,54,NA
0,13,0,OH,5189,JFK,892,18.58,200,-18
8,10,3,B6,153,JFK,944,16.5,182,-17
1,18,1,OO,5902,ORD,224,13.17,65,34
8,21,0,AA,2309,ORD,802,8.58,145,NA
2,16,0,OH,4948,LGA,647,21.42,143,3
4,7,3,OO,5914,ORD,323,14.33,80,59
3,26,6,UA,212,ORD,723,16.75,123,NA
5,26,4,OH,5166,LGA,585,20.5,131,35
10,13,4,B6,1087,JFK,541,21.67,130,51
0,7,1,UA,444,ORD,865,8.13,142,27
1,18,1,AA,2033,JFK,1391,14.92,245,38
3,11,5,AA,1847,JFK,1391,7.67,225,NA
9,10,5,HA,595,OGG,100,21,34,4
7,3,0,OH,5458,JFK,199,8.67,98,-16
2,22,6,UA,10,SFO,2586,13.5,324,0
2,1,6,OH,5046,JFK,508,20.08,157,19
7,11,1,UA,257,ORD,1739,8.17,263,8
8,10,3,OO,5496,SFO,191,22.42,67,-13
1,9,6,AA,366,ORD,733,14.33,130,-24
2,18,2,US,46,SFO,651,12.17,116,27
5,4,3,OH,5466,ORD,740,11.83,140,175
7,2,6,HA,155,OGG,100,8.67,34,NA
2,20,4,B6,221,JFK,2465,8.42,375,32
9,16,4,UA,11,JFK,2586,11,389,5
6,18,5,B6,36,JFK,264,21,99,62
5,8,0,B6,215,JFK,2465,15.92,356,27
5,20,5,WN,2428,SJC,569,16.58,100,24
11,19,5,UA,818,ORD,719,21.35,128,120
7,26,2,OO,5451,SFO,250,18.5,80,-13
6,15,2,WN,792,SJC,188,17,55,-7
1,19,2,WN,1538,SMF,647,18.75,110,1
3,23,3,UA,41,SFO,2447,9.17,335,10
11,26,5,WN,2314,SJC,948,18.75,145,50
5,11,3,B6,393,LGA,950,7.5,158,-5
4,31,6,B6,922,ORD,867,18.92,140,-5
5,1,0,B6,215,JFK,2465,15.92,356,42
8,25,4,OO,5991,ORD,522,19.98,107,-15
3,27,0,WN,527,SJC,333,14,70,8
9,2,4,OO,5445,SFO,191,13.83,67,90
3,29,2,UA,47,JFK,2475,9.5,373,72
2,2,0,AA,543,LGA,1011,19.25,180,125
9,2,4,OO,5930,SFO,421,12.6,85,41
7,24,0,AA,455,ORD,1745,15.08,250,169
6,11,5,WN,3412,SJC,308,14.25,75,3
10,23,0,UA,130,ORD,137,22.35,56,-30
6,23,3,OO,6274,ORD,738,15.85,137,93
10,19,3,UA,1153,SFO,337,6.25,82,-6
1,4,1,AA,370,ORD,733,12.58,130,20
0,13,0,UA,878,SFO,2586,12,324,NA
8,10,3,UA,1510,SFO,651,8.68,114,-19
4,6,2,OH,5179,LGA,431,9.75,121,-16
1,11,1,AA,325,ORD,258,10,70,NA
3,3,4,B6,1079,JFK,288,22.25,94,154
4,15,4,UA,314,ORD,412,21.33,82,3
3,7,1,US,912,SFO,2521,13.33,331,-28
9,15,3,B6,1403,SJC,324,9.67,71,19
2,9,0,UA,478,SFO,1464,10.67,209,-13
2,12,3,B6,19,JFK,1069,8.17,190,-5
6,18,5,AA,18,SFO,2586,22,325,68
5,7,6,UA,685,LGA,733,14.93,154,28
9,12,0,OH,6650,ORD,740,11.58,145,44
1,26,2,UA,1242,ORD,849,18.5,130,140
5,4,3,AA,1765,ORD,258,19.42,70,49
3,1,2,OO,5962,ORD,412,16.67,86,111
7,8,5,WN,2726,SFO,447,14,85,30
1,13,3,OH,5211,JFK,94,16.48,91,-10
0,29,2,UA,127,ORD,1745,18.5,271,313
2,18,2,UA,146,ORD,647,18.57,115,88
7,1,5,OH,5465,JFK,664,21,171,131
2,23,0,US,471,SFO,414,15.75,90,1
3,30,3,OO,5792,SFO,462,14.93,120,25
0,23,3,WN,2175,SFO,414,14.42,85,NA
8,21,0,AA,2393,LGA,761,15.5,160,8
2,9,0,AA,347,LGA,733,18.25,164,NA
7,25,1,US,277,SMF,647,16.17,114,6
5,3,2,OO,5866,ORD,466,12.92,94,201
5,18,3,OH,5269,LGA,292,19.5,102,NA
5,5,4,AA,520,SFO,1464,6,215,-15
5,9,1,OO,5864,ORD,137,6.83,52,31
1,16,6,UA,405,LGA,1619,10,268,16
1,3,0,AA,2435,ORD,1440,12.42,230,29
2,27,4,AA,1247,ORD,1745,11.08,265,21
5,14,6,UA,788,SFO,447,12.98,93,-2
4,31,6,WN,835,SFO,414,11.33,90,44
9,22,3,UA,90,SFO,2565,8.95,339,58
3,17,4,AA,2377,LGA,761,6.5,140,1
1,13,3,OH,5366,ORD,740,17.5,155,80
5,10,2,B6,1105,JFK,426,12.42,104,77
1,21,4,WN,1300,SFO,414,8.5,85,19
9,3,5,AA,394,ORD,733,6.75,130,16
4,12,1,AA,1425,ORD,1726,9.5,255,25
0,14,1,US,2136,LGA,185,17,82,NA
6,25,5,UA,830,SFO,1846,10.97,251,-2
9,15,3,AA,502,SJC,1476,17.58,200,-8
7,21,4,B6,175,JFK,2421,12,358,1
9,7,2,OO,6460,ORD,717,16.83,124,-4
3,25,5,OO,5445,SFO,191,14.13,66,-10
1,10,0,AA,2033,JFK,1391,14.92,245,15
11,30,2,UA,357,ORD,802,17.5,154,18
7,14,4,OO,5790,SFO,153,16.87,58,-10
7,14,4,UA,536,SJC,1829,6.38,247,-1
8,19,5,OO,5912,ORD,316,10.73,71,16
0,22,2,B6,377,LGA,1076,13.33,182,63
2,11,2,WN,2615,TUS,367,18.5,70,-1
0,16,3,AA,2353,ORD,802,19.33,150,16
7,31,0,WN,97,SMF,910,8.08,135,-6
5,22,0,OO,6849,ORD,1210,12,198,-6
11,12,5,B6,907,JFK,740,8.83,176,2
0,1,2,UA,690,ORD,733,17,143,34
5,16,1,UA,668,ORD,733,6.07,125,26
9,22,3,B6,604,JFK,274,12.5,72,63
9,24,5,AA,1931,SFO,337,14.33,90,-4
0,17,4,AA,2481,ORD,1440,9.92,230,-24
2,9,0,WN,1407,SMF,397,14,80,-1
8,4,4,UA,492,ORD,647,13.18,120,34
8,7,0,US,1005,ORD,678,9.92,116,-11
6,31,4,US,1483,SFO,2254,13.75,287,3
10,8,6,OO,5564,SFO,86,19.42,43,17
7,7,4,WN,1412,SJC,308,16.67,75,-7
0,27,0,UA,150,SFO,1846,16.75,241,137
2,27,4,AA,678,SFO,337,16.25,80,16
5,30,1,UA,730,ORD,622,18.1,114,30
0,30,3,B6,395,LGA,950,14.92,176,60
8,14,0,OH,6347,LGA,292,11.75,102,-30
2,23,0,UA,434,ORD,235,6.75,76,44
7,8,5,OO,5482,SFO,199,13.02,72,55
2,26,3,WN,1052,SJC,308,14.83,70,22
2,2,0,AA,1751,ORD,925,12,165,-10
0,30,3,OO,6387,SFO,421,21.42,78,18
5,26,4,UA,566,SMF,1781,9.98,234,10
0,10,4,UA,1550,SFO,414,18.17,91,171
0,16,3,OO,6356,SFO,599,21.23,104,46
10,7,5,WN,2378,SJC,386,8.58,85,23
9,28,2,US,29,ORD,1440,10.67,227,-25
0,18,5,B6,919,JFK,740,21.25,177,92
6,12,6,UA,1244,ORD,589,21.5,105,53
7,26,2,US,128,SFO,651,15.58,120,-7
0,24,4,UA,10,SFO,2586,13.42,324,20
7,20,3,B6,221,JFK,2465,9.42,361,-8
3,11,5,OO,5955,ORD,240,7.67,69,74
3,24,4,OO,5981,ORD,557,20,108,132
11,25,4,UA,1184,SFO,967,5.92,151,-5
4,21,3,AA,2013,ORD,1515,7.42,225,0
1,12,2,AA,73,ORD,4243,9.08,560,11
4,12,1,AA,321,LGA,733,11.5,150,46
0,21,1,OH,5556,JFK,267,13.5,87,8
0,11,5,AA,547,ORD,1652,10.17,251,7
4,3,6,US,208,SFO,651,15.67,117,0
9,7,2,UA,722,ORD,589,16.18,115,NA
4,23,5,B6,285,JFK,2248,14.83,332,84
1,5,2,AA,1169,ORD,1041,14,175,18
6,8,2,OH,5516,JFK,187,22.17,101,NA
8,19,5,OH,6913,LGA,641,19.5,151,-1
10,13,4,OO,5779,SFO,412,12.25,113,45
0,27,0,UA,1160,ORD,678,11,119,88
1,19,2,UA,59,SFO,2367,8.67,336,-20
3,25,5,WN,635,TUS,365,12,75,-9
11,19,5,UA,638,ORD,719,8.95,123,69
2,8,6,OO,6384,SFO,522,8.33,93,20
6,12,6,US,784,SFO,2296,22.42,301,-13
3,9,3,AA,1323,JFK,740,8.08,150,NA
11,27,6,OO,6062,ORD,67,15.87,47,57
2,4,2,UA,1179,SFO,337,12.13,86,-20
3,12,6,OH,5201,JFK,213,8.5,97,63
8,29,1,US,52,JFK,2248,17.98,344,-12
4,28,3,B6,43,JFK,944,19.5,183,-12
5,27,5,AA,1561,ORD,1846,18.58,270,22
5,14,6,US,277,SMF,647,16.17,114,30
4,21,3,AA,613,JFK,1090,18.83,190,178
6,15,2,AA,1540,TUS,813,14.17,140,1
2,11,2,AA,1345,ORD,1745,14.08,270,-36
8,8,1,UA,658,ORD,719,18.33,141,47
1,1,5,AA,1184,ORD,719,12,130,115
